Cat.,Zaneen Model #,Item Status,Series,Description,CAD MSRP ,USD MSRP 
D,D1-1030,CURRENT,CYCLOS,Small White Pendant,1316.00,1048.00
D,D1-1038,WQL,TAMBURO,Pendant,1194.00,946.00
D,D1-1046,WQL,FLY,Penant,1030.00,822.00
D,D1-1078,CURRENT,LANCIA,Pendant 1x54W T5 Matte White,1224.00,978.00
D,D1-1080,CURRENT,AMAK,Pendand 3-Lt. LED 3000K Matte White,1890.00,1510.00
D,D1-1092,CURRENT,AMAK,Pendant 1-Lt. LED 3000K Matte White,700.00,560.00
D,D1-1093,CURRENT,AMAK,Pendant 1-Lt. LED 3000K Black/White,700.00,560.00
D,D1-1111,CURRENT,CAMPANA,Pendant 29.2W LED 3000K - Glossy White,2290.00,1822.00
D,D1-1112,CURRENT,CAMPANA,Pendant 29.2W LED 3000K - Glossy Black,2290.00,1822.00
D,D1-1114,CURRENT,CAMPANA,Pendant 22W+40W 2GX13 - Glossy White,1950.00,1550.00
D,D1-1115,CURRENT,CAMPANA,Pendant 22W+40W 2GX13 - Glossy Black,1950.00,1550.00
D,D1-1128,CURRENT,EGIDA,Pendant 23.2W LED 2000K 370lm - Matte White/Silver,2614.00,2086.00
D,D1-1129,CURRENT,EGIDA,Pendant 23.2W LED 8000K 370lm - Matte Black/Gold,2614.00,2086.00
D,D1-1130,CURRENT,CYCLOS,Small Pendant 27W LED 3000K White,2322.00,1852.00
D,D1-1131,CURRENT,CYCLOS,Small Pendant 27W LED 3000K Silver-Gray,2322.00,1852.00
D,D1-1132,CURRENT,CYCLOS,Large Pendant 50W LED 3000K White,3844.00,3070.00
D,D1-1133,CURRENT,CYCLOS,Large Pendant 50W LED 3000K Silver-Gray,3844.00,3070.00
D,D1-1134,CURRENT,TALETE,Suspension - 10.2W LED- 3000K - White,1658.00,1328.00
D,D1-1135,CURRENT,TALETE,Suspension - 10.2W LED- 3000K - Gold Effect,1790.00,1432.00
D,D1-1136,CURRENT,TALETE,Suspension - 10.2W LED- 3000K - Copper Effect,1790.00,1432.00
D,D1-1137,CURRENT,TALETE,Suspension - 10.2W LED- 3000K - Black Chrome,1790.00,1432.00
D,D1-1142,CURRENT,HANDMADE,LED - Suspension- Matte White/Silver,2426.00,1952.00
D,D1-1143,CURRENT,HANDMADE,LED - Suspension- Matte White/Silver,4100.00,3280.00
D,D1-2006,WQL,BOREALE,Flushmount - Fluorescent,460.00,362.00
D,D1-2025,CURRENT,CYCLOS,Flushmount White,1210.00,962.00
D,D1-2035,WQL,EQUAL,Wall Sconce Brushed Nickel,584.00,460.00
D,D1-2043,WQL,TAMBURO,Semi-Flush,944.00,748.00
D,D1-2046,WQL,FLAT-Q,Flushmount Brushed Nickel 150mm,402.00,318.00
D,D1-2047,WQL,FLAT-Q,Flushmount Chrome 150mm,402.00,318.00
D,D1-2048,WQL,FLAT-Q,Flushmount White 300mm,542.00,430.00
D,D1-2050,WQL,FLAT-Q,Flushmount Chrome 300mm,620.00,494.00
