Cat.,Zaneen Model #,Item Status,Series,Description,CAD MSRP ,USD MSRP 
D,D3-1000WHI,CURRENT,ACQUA,Suspension- Uplight- 5.6W-120V- 2800K- 650lm- CRI>80- Dimmable- White,626.00,504.00
D,D3-1000GOL,CURRENT,ACQUA,Suspension- Uplight- 5.6W-120V- 2800K- 650lm- CRI>80- Dimmable- Matte Gold,756.00,610.00
D,D3-1000SIL,CURRENT,ACQUA,Suspension- Uplight- 5.6W-120V- 2800K- 650lm- CRI>80- Dimmable- Matte Silver,756.00,610.00
D,D3-1001WHI,CURRENT,ACQUA,Suspension- Uplight- 5.6W-120V- 2800K- 520lm- CRI>95- Dimmable- White,658.00,530.00
D,D3-1001GOL,CURRENT,ACQUA,Suspension- Uplight- 5.6W-120V- 2800K- 520lm- CRI>95- Dimmable- Matte Gold,788.00,634.00
D,D3-1001SIL,CURRENT,ACQUA,Suspension- Uplight- 5.6W-120V- 2800K- 520lm- CRI>95- Dimmable- Matte Silver,788.00,634.00
D,D3-1002WHI,CURRENT,ACQUA,Suspension- Downlight- 5.6W-120V- 2800K- 650lm- CRI>80- Dimmable- White,626.00,504.00
D,D3-1002GOL,CURRENT,ACQUA,Suspension- Downlight- 5.6W-120V- 2800K- 650lm- CRI>80- Dimmable- Matte Gold,756.00,610.00
D,D3-1002SIL,CURRENT,ACQUA,Suspension- Downlight- 5.6W-120V- 2800K- 650lm- CRI>80- Dimmable- Matte Silver,756.00,610.00
D,D3-1003WHI,CURRENT,ACQUA,Suspension- Downlight- 5.6W-120V- 2800K- 520lm- CRI>95- Dimmable- White,658.00,530.00
D,D3-1003GOL,CURRENT,ACQUA,Suspension- Downlight- 5.6W-120V- 2800K- 520lm- CRI>95- Dimmable- Matte Gold,788.00,634.00
D,D3-1003SIL,CURRENT,ACQUA,Suspension- Downlight- 5.6W-120V- 2800K- 520lm- CRI>95- Dimmable- Matte Silver,788.00,634.00
D,D3-9000WHI,CURRENT,ACQUA,Canopy - 1 Cable including driver- White,1316.00,1056.00
D,D3-9000GOL,CURRENT,ACQUA,Canopy - 1 Cable including driver- Matte Gold,1414.00,1134.00
D,D3-9000SIL,CURRENT,ACQUA,Canopy - 1 Cable including driver- Matte Silver,1414.00,1134.00
D,D3-9001WHI,CURRENT,ACQUA,Canopy - 2 Cable including driver- White,1448.00,1162.00
D,D3-9001GOL,CURRENT,ACQUA,Canopy - 2 Cable including driver- Matte Gold,1560.00,1252.00
D,D3-9001SIL,CURRENT,ACQUA,Canopy - 2 Cable including driver- Matte Silver,1560.00,1252.00
D,D3-9002WHI,CURRENT,ACQUA,Canopy - 3 Cable including driver- White,1578.00,1268.00
D,D3-9002GOL,CURRENT,ACQUA,Canopy - 3 Cable including driver- Matte Gold,1710.00,1372.00
D,D3-9002SIL,CURRENT,ACQUA,Canopy - 3 Cable including driver- Matte Silver,1710.00,1372.00
D,D3-9003WHI,CURRENT,ACQUA,Canopy - 1 Cable with swag mount- including driver- White,1480.00,1186.00
D,D3-9003GOL,CURRENT,ACQUA,Canopy - 1 Cable with swag mount- including driver- Matte Gold,1578.00,1268.00
D,D3-9003SIL,CURRENT,ACQUA,Canopy - 1 Cable with swag mount- including driver- Matte Silver,1578.00,1268.00
D,D3-9004WHI,CURRENT,ACQUA,Canopy - 2 Cable with swag mount- including driver- White,1694.00,1372.00
D,D3-9004GOL,CURRENT,ACQUA,Canopy - 2 Cable with swag mount- including driver- Matte Gold,1806.00,1462.00
D,D3-9004SIL,CURRENT,ACQUA,Canopy - 2 Cable with swag mount- inlcuding driver- Matte Silver,1822.00,1462.00
D,D3-9005WHI,CURRENT,ACQUA,Canopy - 3 Cable with swag mount- including driver- White,1936.00,1556.00
D,D3-9005GOL,CURRENT,ACQUA,Canopy - 3 Cable with swag mount- including driver- Matte Gold,2068.00,1660.00
D,D3-9005SIL,CURRENT,ACQUA,Canopy - 3 Cable with swag mount- including driver- Matte Silver,2068.00,1660.00
D,D3-9006WHI,CURRENT,ACQUA,Canopy - White,292.00,236.00
D,D3-9006GOL,CURRENT,ACQUA,Canopy - Matte Gold,374.00,300.00
D,D3-9006SIL,CURRENT,ACQUA,Canopy - Matte Silver,374.00,300.00
D,D3-9007,CURRENT,ACQUA,Cable guide - White,48.00,40.00
D,D3-9008,CURRENT,ACQUA,Cable for canoy - White,40.00,32.00
D,D3-3000WHI,CURRENT,Passepartout,Wall Mount- Dimmable- 18W LED- 120V-2800K-2200lm- CRI >80- White,1010.00,812.00
D,D3-3000RED,CURRENT,Passepartout,Wall Mount- Dimmable- 18W LED- 120V-2800K-2200lm- CRI >80- Red,1010.00,812.00
D,D3-3000BLK,CURRENT,Passepartout,Wall Mount- Dimmable- 18W LED- 120V-2800K-2200lm- CRI >80- Black,1010.00,812.00
D,D3-3000CHR,CURRENT,Passepartout,Wall Mount- Dimmable- 18W LED- 120V-2800K-2200lm- CRI >80- Chrome,1074.00,866.00
D,D3-3000C0P,CURRENT,Passepartout,Wall Mount- Dimmable- 18W LED- 120V-2800K-2200lm- CRI >80- Shinny Copper,1112.00,894.00
D,D3-3000BRA,CURRENT,Passepartout,Wall Mount- Dimmable- 18W LED- 120V-2800K-2200lm- CRI >80- Shinny Brass,1112.00,894.00
D,D3-3001WHI,CURRENT,Passepartout,Wall Mount- Dimmable- 18W LED- 120V-2800K-1700lm- CRI 90- White,1030.00,830.00
D,D3-3001RED,CURRENT,Passepartout,Wall Mount- Dimmable- 18W LED- 120V-2800K-1700lm- CRI 90- Red,1030.00,830.00
D,D3-3001BLK,CURRENT,Passepartout,Wall Mount- Dimmable- 18W LED- 120V-2800K-1700lm- CRI 90- Black,1030.00,830.00
D,D3-3001CHR,CURRENT,Passepartout,Wall Mount- Dimmable- 18W LED- 120V-2800K-1700lm- CRI 90- Chrome,1098.00,882.00
D,D3-3001C0P,CURRENT,Passepartout,Wall Mount- Dimmable- 18W LED- 120V-2800K-1700lm- CRI 90- Shinny Copper,1128.00,908.00
D,D3-3001BRA,CURRENT,Passepartout,Wall Mount- Dimmable- 18W LED- 120V-2800K-1700lm- CRI 90- Shinny Brass,1128.00,908.00
D,D3-1005WHI,CURRENT,ASSOLO,Suspension 43cm- Dimmable- 27W LED- 120V-2800K- 2100lm- CRI 90- White,2342.00,1882.00
D,D3-1007WHI,CURRENT,ASSOLO,Suspension 70cm- Dimmable- 27W LED- 120V-2800K- 2100lm- CRI 90- White,2836.00,2276.00
D,D3-1007BLK,CURRENT,ASSOLO,Suspension 70cm- Dimmable- 27W LED- 120V-2800K- 2100lm- CRI 90- Black,2836.00,2276.00
D,D3-1007GLD,CURRENT,ASSOLO,Suspension 70cm- Dimmable- 27W LED- 120V-2800K- 2100lm- CRI 90- Matt Gold,3098.00,2486.00
D,D3-2000WHI,CURRENT,ASSOLO,Ceiling / Wall- 20cm- 16W LED- 120V-2800K- 1300lm- White,718.00,578.00
D,D3-2000BLK,CURRENT,ASSOLO,Ceiling / Wall- 20cm- 16W LED- 120V-2800K- 1300lm- Black,718.00,578.00
D,D3-2000GLD,CURRENT,ASSOLO,Ceiling / Wall- 20cm- 16W LED- 120V-2800K- 1300lm- Matt Gold,816.00,658.00
D,D3-2001WHI,CURRENT,ASSOLO,Ceiling / Wall- 20cm- 16W LED- 120V-2800K- 1300lm- White,758.00,610.00
D,D3-2001BLK,CURRENT,ASSOLO,Ceiling / Wall- 20cm- 16W LED- 120V-2800K- 1300lm- Black,758.00,610.00
D,D3-2001GLD,CURRENT,ASSOLO,Ceiling / Wall- 20cm- 16W LED- 120V-2800K- 1300lm- Matt Gold,856.00,690.00
D,D3-2002WHI,CURRENT,ASSOLO,Ceiling / Wall- 20cm- Dimmable- 16W LED- 120V-2800K- 1300lm- White,800.00,646.00
D,D3-2002BLK,CURRENT,ASSOLO,Ceiling / Wall- 20cm- Dimmable- 16W LED- 120V-2800K- 1300lm- Black,800.00,646.00
D,D3-2002GLD,CURRENT,ASSOLO,Ceiling / Wall- 20cm- Dimmable- 16W LED- 120V-2800K- 1300lm- Matt Gold,898.00,722.00
D,D3-2003WHI,CURRENT,ASSOLO,Ceiling / Wall- 20cm- Dimmable- 16W LED- 120V-2800K- 1300lm- White,840.00,676.00
D,D3-2003BLK,CURRENT,ASSOLO,Ceiling / Wall- 20cm- Dimmable- 16W LED- 120V-2800K- 1300lm- Black,840.00,676.00
D,D3-2003GLD,CURRENT,ASSOLO,Ceiling / Wall- 20cm- Dimmable- 16W LED- 120V-2800K- 1300lm- Matt Gold,940.00,756.00
D,D3-2005WHI,CURRENT,ASSOLO,Ceiling 43cm- Dimmable- 27W LED- 120V-2800K- 2100lm- CRI 90- White,2048.00,1644.00
D,D3-2017WHI,CURRENT,ASSOLO,Ceiling 70cm- Dimmable- 27W LED- 120V-2800K- 2100lm- CRI 90- White,2560.00,2052.00
E,D3-3012WHI,CURRENT,ASSOLO,Exterior Wall- 22cm-15W LED-120V-2800K- 1-300lm - WHITE,1130.00,910.00
E,D3-3012GRY,CURRENT,ASSOLO,Exterior Wall- 22cm-15W LED-120V-2800K- 1-300lm - GRAY,1130.00,910.00
E,D3-3012ANT,CURRENT,ASSOLO,Exterior Wall- 22cm-15W LED-120V-2800K- 1-300lm - ANTRACITE,1130.00,910.00
D,D3-4001WHI,CURRENT,ASSOLO,Table Lamp -10W LED- 120V-2800K-1000lm-Cri >80 - White,922.00,742.00
D,D3-4001BLK,CURRENT,ASSOLO,Table Lamp -10W LED- 120V-2800K-1000lm-Cri >80 - Black,922.00,742.00
D,D3-4001GLD,CURRENT,ASSOLO,Table Lamp -10W LED- 120V-2800K-1000lm-Cri >80 - Matt Gold,1022.00,822.00
D,D3-4004WHI,CURRENT,ASSOLO,Table Lamp -27W LED- 120V-2800K-2100lm-Cri =95 - White,2342.00,1882.00
D,D3-4004BLK,CURRENT,ASSOLO,Table Lamp -27W LED- 120V-2800K-2100lm-Cri =95 - Black,2342.00,1882.00
D,D3-4004GLD,CURRENT,ASSOLO,Table Lamp -27W LED- 120V-2800K-2100lm-Cri =95 - Matt Gold,2572.00,2068.00
D,D3-4006WHI,CURRENT,ASSOLO,Floor Lamp -27W LED- 120V-2800K-2100lm-Cri =95 - White,2958.00,2370.00
D,D3-4006BLK,CURRENT,ASSOLO,FloorLamp -27W LED- 120V-2800K-2100lm-Cri =95 - Black,2958.00,2370.00
D,D3-4006GLD,CURRENT,ASSOLO,Floor Lamp -27W LED- 120V-2800K-2100lm-Cri =95 - Matt Gold,3220.00,2582.00
D,D3-9009WHI,CURRENT,ASSOLO,Square Junction box cover plate - White,98.00,80.00
D,D3-9009BLK,CURRENT,ASSOLO,Square Junction box cover plate - Black,98.00,80.00
D,D3-9010WHI,CURRENT,ASSOLO,Round Plate - White,148.00,120.00
D,D3-9010BLK,CURRENT,ASSOLO,Round Plate - Black,148.00,120.00
D,D3-9010GLD,CURRENT,ASSOLO,Round Plate - Gold,178.00,144.00
D,D3-9017WHI,CURRENT,ASSOLO,9.5cm Plate - White,104.00,84.00
D,D3-9017GRY,CURRENT,ASSOLO,9.5cm Plate - Gray,104.00,84.00
D,D3-9017ANT,CURRENT,ASSOLO,9.5cm Plate - Anthracite,104.00,84.00
D,D3-1009WHI,CURRENT,SESTESSA  ,Suspension 50cm- Dimmable- 2x26LED- 120V-2800K- 2x2200lm- CRI 95- White,2828.00,2264.00
D,D3-1011WHI,CURRENT,SESTESSA Cabrio,Suspension 50cm- Dimmable- 2x26LED- 120V-2800K- 2x2200lm- CRI 95- White,2644.00,2120.00
D,D3-2007WHI,CURRENT,SESTESSA  ,Ceiling 50cm- Dimmable- 2x26LED- 120V-2800K- 2x2200lm- CRI 90- White,2584.00,2070.00
D,D3-2009WHI,CURRENT,SESTESSA  ,Ceiling 50cm- Dimmable- 2x26LED- 120V-2800K- 2x2200lm- CRI 90- White,2432.00,1948.00
D,D3-3004WHI,CURRENT,SESTESSA  ,Wall 33cm- Dimmable- 20W LED- 120V- 2800K- 2150lm- CRI 80- White,1116.00,894.00
D,D3-3005WHI,CURRENT,SESTESSA  ,Wall 33cm- Dimmable- 20W LED- 120V- 2800K- 1550lm- CRI 95- White,1150.00,922.00
D,D3-3008WHI,CURRENT,SESTESSINA,Wall 24cm- Dimmable- 20W LED- 120V- 2800K- 1700lm- CRI 80- White,980.00,786.00
D,D3-3009WHI,CURRENT,SESTESSINA,Wall 24cm- Dimmable- 20W LED- 120V- 2800K- 1300lm- CRI 95- White,1030.00,826.00
D,D3-3010WHI,CURRENT,SESTESSA  ,Wall 55cm- Dimmable- 39W LED- 120V- 2800K- 3900lm- CRI 80- White,1552.00,1204.00
D,D3-3011WHI,CURRENT,SESTESSA  ,Wall 55cm- Dimmable- 39W LED- 120V- 2800K- 2850lm- CRI 90- White,1552.00,1246.00
D,D3-4000WHI,CURRENT,CUBOLED,Table Lamp- 2W LED- 120V- 2700K- CRI >90- White,448.00,358.00
D,D3-4000RED,CURRENT,CUBOLED,Table Lamp- 2W LED- 120V- 2700K- CRI >90- Red,448.00,358.00
D,D3-4000BLK,CURRENT,CUBOLED,Table Lamp- 2W LED- 120V- 2700K- CRI >90- Black,448.00,358.00
D,D3-4000ANT,CURRENT,CUBOLED,Table Lamp- 2W LED- 120V- 2700K- CRI >90- Anthracite,474.00,380.00
D,D3-4000VIO,CURRENT,CUBOLED,Table Lamp- 2W LED- 120V- 2700K- CRI >90- Violet,448.00,358.00
D,D3-4000WHI-BLK,CURRENT,CUBOLED,Table Lamp- 2W LED- 120V- 2700K- CRI >90- White & Black,474.00,380.00
D,D3-4000FUS,CURRENT,CUBOLED,Table Lamp- 2W LED- 120V- 2700K- CRI >90- Fuchsia,474.00,380.00
D,D3-4000YEL,CURRENT,CUBOLED,Table Lamp- 2W LED- 120V- 2700K- CRI >90- Yellow,474.00,380.00
D,D3-4000GRN,CURRENT,CUBOLED,Table Lamp- 2W LED- 120V- 2700K- CRI >90-  Green,474.00,380.00
D,D3-4000GOL,CURRENT,CUBOLED,Table Lamp- 2W LED- 120V- 2700K- CRI >90- Gold,474.00,380.00
D,D3-4000SIL,CURRENT,CUBOLED,Table Lamp- 2W LED- 120V- 2700K- CRI >90- Silver,474.00,380.00
D,D3-4000CHR,CURRENT,CUBOLED,Table Lamp- 2W LED- 120V- 2700K- CRI >90- Chrome,518.00,414.00
