Cat.,Zaneen Model #,Series,Description, CAD MSRP  ,USD MSRP 
D,D5-3000BLK,HOOP METAL,Wall - 1x16W LED -120V -3000K - Black,1240.00,990.00
D,D5-3000WHI,HOOP METAL,Wall - 1x16W LED -120V -3000K -  White,1240.00,990.00
D,D5-3000BRA,HOOP ESSENCE,Wall - 1x16W LED -120V -3000K - Brass,1240.00,990.00
D,D5-3000PWT,HOOP ESSENCE,Wall - 1x16W LED -120V -3000K -  Pewter,1240.00,990.00
D,D5-3001BLK,HOOP METAL,Wall - 1x24W LED -120V -3000K - Black,1560.00,1240.00
D,D5-3001WHI,HOOP METAL,Wall - 1x24W LED -120V -3000K -  White,1560.00,1240.00
D,D5-3001BRA,HOOP ESSENCE,Wall - 1x24W LED -120V -3000K - Brass,1560.00,1240.00
D,D5-3001PWT,HOOP ESSENCE,Wall - 1x24W LED -120V -3000K -  Pewter,1560.00,1240.00
D,D5-1000BLK,HANGING HOOP,Suspension - 1x16W LED -120V -3000K - Black/Black,2076.00,1652.00
D,D5-1000WHI,HANGING HOOP,Suspension - 1x16W LED -120V -3000K - White/White,2076.00,1652.00
D,D5-1000BRB,HOOP ESSENCE,Suspension - 1x16W LED -120V -3000K - Brass/Black,2076.00,1652.00
D,D5-1000PWB,HOOP ESSENCE,Suspension - 1x16W LED -120V -3000K - Pewter/Black,2076.00,1652.00
D,D5-1001BLK,HANGING HOOP,Suspension - 1x16W LED -120V -3000K - Black/Black,2782.00,2222.00
D,D5-1001WHI,HANGING HOOP,Suspension - 1x16W LED -120V -3000K - White/White,2782.00,2222.00
D,D5-1001BRB,H.HOOP ESSENCE,Suspension - 1x16W LED -120V -3000K - Brass/Black,2782.00,2222.00
D,D5-1001PWB,H.HOOP ESSENCE,Suspension - 1x16W LED -120V -3000K - Pewter/Black,2860.00,2284.00
D,D5-1004WHI,SWING,Suspension - 1x20W CFL - E26 - Chrome+White,2078.00,1650.00
D,D5-1004BLK,SWING,Suspension - 1x20W CFL - E26 - Chrome+Black,2078.00,1650.00
D,D5-1004RED,SWING,Suspension - 1x20W CFL - E26 - Chrome+Red,2078.00,1650.00
D,D5-1004GRN,SWING,Suspension - 1x20W CFL - E26 - Chrome+Green,2078.00,1650.00
D,D5-1004FLA,SWING,Suspension - 1x20W CFL - E26 - Chrome+Flax,2078.00,1650.00
D,D5-1004BRO,SWING,Suspension - 1x20W CFL - E26 - Chrome+Brown,2078.00,1650.00
D,D5-1004VIO,SWING,Suspension - 1x20W CFL - E26 - Chrome+Violet,2078.00,1650.00
