Cat.,Zaneen Model #,Series,Description,CAD MSRP ,USD MSRP 
D,D8-1000,TWISTER,Pendant,1024.00,820.00
D,D8-1001,TWISTER,Pendant,1328.00,1062.00
D,D8-1002,KUBIK,Pendant,618.00,484.00
D,D8-1003,KUBIK,Pendant,722.00,576.00
D,D8-1004,BLOW,Pendant,812.00,648.00
D,D8-1005,BLOW,Pendant,1092.00,872.00
D,D8-1006,BLOW MINI,Pendant,498.00,400.00
D,D8-1009,DENIS,Pendant,774.00,774.00
D,D8-1014,WILLY,Suspension - 60cm White,3112.00,2444.00
D,D8-1015,JAZZ,Pendant,500.00,402.00
D,D8-1531,JAZZ,Pendant,704.00,560.00
D,D8-1016,JAZZ,Pendant,420.00,338.00
D,D8-1532,JAZZ,Pendant,498.00,400.00
D,D8-1017,JAZZ,Pendant,192.00,154.00
D,D8-1533,JAZZ,Pendant,394.00,310.00
D,D8-1018,JAZZ,Pendant,244.00,196.00
D,D8-1534,JAZZ,Pendant,528.00,414.00
D,D8-1019,JAZZ,Pendant,326.00,262.00
D,D8-1535,JAZZ,Pendant,608.00,478.00
D,D8-1022,BLUES,Pendant,2050.00,2050.00
D,D8-1032,LOOP,Pendant,1820.00,1820.00
D,D8-1033,PLANET,Pendant,1452.00,1452.00
D,D8-1035,PLANET,Pendant,1746.00,1746.00
D,D8-1038,BLISSY,Pendant,1664.00,1664.00
D,D8-1040,GLIM MINI,Pendant,870.00,570.00
D,D8-1045,DOMINO,Pendant - White,528.00,422.00
D,D8-1046,DOMINO,Pendant - Black,528.00,422.00
D,D8-1048,DOMINO,Pendant - White,596.00,476.00
D,D8-1049,DOMINO,Pendant - Black,596.00,476.00
D,D8-1056,WILLY,Suspension - 60cm Black Glass,3112.00,2444.00
D,D8-1057,WILLY,Suspension - 40cm White Glass,1430.00,1130.00
D,D8-1563,WILLY,Suspension - 40cm Silver Leaf Glass,1804.00,1432.00
D,D8-1058,WILLY,Suspension - 40cm Black Glass,1430.00,1130.00
D,D8-1059,WILLY,Pendant - Small with White Glasss,596.00,476.00
D,D8-1060,WILLY,Pendant - Small with Black Glass,596.00,476.00
D,D8-1064,MINE,Pendant - 1-lt. w/out Canopy,396.00,396.00
D,D8-1070,WAVE,Pendant - 1-lt. w/out Canopy,488.00,488.00
D,D8-1072,WAVE,Pendant Holder Only - 6-lt. Gray Metallic,322.00,260.00
D,D8-1075,FLORAL,Pendant,1920.00,1540.00
D,D8-1076,FLORAL,Pendant,3050.00,2426.00
D,D8-1077,WILLY 100,Suspension 100,4910.00,3860.00
D,D8-1564,WILLY 100,Suspension 100 - LED 3500K White,5668.00,4586.00
D,D8-1078,WILLY 100,Suspension 100 - Black,5044.00,3970.00
D,D8-1085,RING,Pendant - White,1028.00,1028.00
D,D8-1088,RING,Pendant - Orange,1028.00,1028.00
D,D8-1090,RING,Pendant - White,1608.00,1608.00
D,D8-1100,TOURBILLON,Pendant - White/White,750.00,750.00
D,D8-1101,TOURBILLON,Pendant - White/Black,750.00,750.00
D,D8-1104,TOURBILLON,Pendant - White/Green,660.00,660.00
D,D8-1107,TOURBILLON,Pendant - White/Red,1740.00,1740.00
D,D8-1108,TOURBILLON,Pendant - White/Orange,1740.00,1740.00
D,D8-1116,DEBUT,Pendant - Crocodile/Red,1308.00,1308.00
D,D8-1118,DEBUT,Pendant - Ostrich/White,1308.00,1308.00
D,D8-1132,SNAKE,Pendant - Crocodile/Black,1330.00,1330.00
D,D8-1144,TOURBILLON,Pendant - White/White,652.00,652.00
D,D8-1150,AFEF,Pendant - White/Black,3956.00,3956.00
D,D8-1160,TRACK,Pendant - Gray Metal - without Canopy,928.00,744.00
D,D8-1164,RING,Pendant - White,748.00,748.00
D,D8-1169,RING,Pendant - White - without Canopy,652.00,652.00
D,D8-1176,RING,Pendant - Polished Stainless Steel,1110.00,1110.00
D,D8-1181,AGAVE,Pendant - 50cm White,5340.00,4260.00
D,D8-1522,AGAVE,Pendant - 50cm Gold Leaf,6898.00,5518.00
D,D8-1523,AGAVE,Pendant - 50cm Silver Leaf,6898.00,5518.00
D,D8-1524,AGAVE,Pendant - 50cm Copper Leaf,6898.00,5518.00
D,D8-1182,AGAVE,Pendant - 70cm White,10148.00,8092.00
D,D8-1525,AGAVE,Pendant - 70cm Gold Leaf,13086.00,10460.00
D,D8-1526,AGAVE,Pendant - 70cm Silver Leaf,13086.00,10460.00
D,D8-1527,AGAVE,Pendant - 70cm Copper Leaf,13086.00,10460.00
D,D8-1183,AGAVE,Pendant - 90cm White,15534.00,12384.00
D,D8-1528,AGAVE,Pendant - 90cm Gold Leaf,20040.00,16014.00
D,D8-1529,AGAVE,Pendant - 90cm Silver Leaf,20040.00,16014.00
D,D8-1530,AGAVE,Pendant - 90cm Copper Leaf,20040.00,16014.00
D,D8-1184,DREAMY,Suspension - 25cm,1146.00,920.00
D,D8-1185,DREAMY,Suspension - 40cm,1666.00,1326.00
D,D8-1269,BRERA,Chandelier - 8-lt. Chrome/Red,10478.00,8400.00
D,D8-1314,MOMA,Chandelier - 6-lt. Chrome/White,7596.00,6076.00
D,D8-1329,TATE,Chandelier - 6-lt. Chrome/Black,7194.00,5752.00
D,D8-1330,TATE,Chandelier - 8-lt. Chrome/White,8490.00,6798.00
D,D8-1342,WILLY,Suspension - 50cm White,1794.00,1432.00
D,D8-1343,WILLY,Suspension - 50cm Black,1794.00,1432.00
D,D8-1344,WILLY,Suspension - Metallized Gray Aluminum,2126.00,1684.00
D,D8-1350,ONE,Pendant - Metallized Brown,538.00,430.00
