Cat.,Zaneen Model #,Item Status,Series,Description,CAD MSRP ,USD MSRP 
A,L1060000,CURRENT,TRAIL,Recessed 1 LED 2W 500mA 3000K 150lm - Rough White,236.00,190.00
A,L1060001,CURRENT,TRAIL,Recessed 1 LED 2W 500mA 4000K 160lm - Rough White,236.00,190.00
A,L1060002,CURRENT,TRAIL,Recessed 3 LED 6W 500mA Rough White 3000K - 440lm,262.00,212.00
A,L1060003,CURRENT,TRAIL,Recessed 3 LED 6W 500mA Rough White 4000K - 480lm,262.00,212.00
A,L1060004,CURRENT,TRAIL,Recessed 6 LED 12W 500mA Rough White 3000K - 880lm,394.00,318.00
A,L1060005,CURRENT,TRAIL,Recessed 6 LED 12W 500mA Rough White 4000K - 960lm,394.00,318.00
A,L1060006,CURRENT,TRAIL,Recessed 9 LED 18W 500mA Rough White 3000K - 1320lm,474.00,382.00
A,L1060007,CURRENT,TRAIL,Recessed 9 LED 18W 500mA Rough White 4000K - 1440lm,474.00,382.00
A,L1060008,CURRENT,TRAIL,Recessed 12 LED 24W 500mA Rough White 3000K - 1760lm,578.00,466.00
A,L1060009,CURRENT,TRAIL,Recessed 12 LED 24W 500mA Rough White 4000K - 1920lm,578.00,466.00
E,L10A0001,CURRENT,EYES,Housing for Recessed Wall,14.00,10.00
E,L10A0032,CURRENT,EYES,Housing for In-Ground,200.00,182.00
E,L10R0013,CURRENT,EYES WALL,Recessed Wall - LED COB 3.5W 3000K with Spring,210.00,170.00
E,L10R0014,CURRENT,EYES WALL,Recessed Wall - LED COB 3.5W 4000K with Spring,210.00,170.00
E,L10R0015,CURRENT,EYES WALL,Recessed Wall - LED COB 3.5W 3000K Q36 with Spring,236.00,190.00
E,L10R0016,CURRENT,EYES WALL,Recessed Wall - LED COB 3.5W 4000K Q36 with Spring,236.00,190.00
E,L10I0006,CURRENT,EYES GROUND,IP68 COB 3.5W 3000K,290.00,234.00
E,L10I0007,CURRENT,EYES GROUND,IP68 COB 3.5W 4000K,290.00,234.00
E,L10A0004,CURRENT,EYES GROUND,Housing Box IP68,76.00,60.00
E,L10A0005,CURRENT,EYES GROUND,Recess Housing Box,24.00,20.00
E,L10R0103,CURRENT,EYES WALL,Recessed Wall - LED COB 3.5W 350mA 3000K 285lm,212.00,170.00
E,L10R0104,CURRENT,EYES WALL,Recessed Wall - LED COB 3.5W 350mA 4000K300lm,212.00,170.00
