Cat.,Zaneen Model #,Series,Description, CAD MSRP  , USD MSRP  
A,L2164116,BIRD,Single Emission Suspsension 2 x 28/54W T16 G5 with Cables / Power Supply - White,2086.00,1676.00
A,L2164129,BIRD,Single Emission Suspsension 2 x 28/54W T16 G5 with Cables / Power Supply - Aluminum,2004.00,1610.00
A,L2164216,BIRD,Single Emission L=1500mm 2 x 35W T5 Suspension with Cables / Power Supply -White,2168.00,1742.00
A,L2164229,BIRD,Single Emission L=1500mm 2 x 35W T5 Suspension with Cables / Power Supply -White,2070.00,1664.00
A,L2164516,BIRD,Single Emission Suspsension 2 x 28/54W T16 G5 with Cables / Power Supply - White,2250.00,1810.00
A,L2164529,BIRD,Single Emission Suspsension 2 x 28/54W T16 G5 with Cables / Power Supply - Aluminum,2168.00,1742.00
A,L2164616,BIRD,Single Emission L=1500mm 2 x 35W T5 Suspension with Cables / Power Supply -White - Dimmable,2334.00,1876.00
A,L2164629,BIRD,Single Emission L=1500mm 2 x 35W T5 Suspension with Cables / Power Supply -Aluminum - Dimmable,2234.00,1796.00
A,L2164716,BIRD,Single Emission Suspension 2x285/54W T5 1200mm (White),2548.00,2048.00
A,L2164729,BIRD,Single Emission Suspension 2x285/54W T5 1200mm (Aluminum),2464.00,1982.00
A,L2164816,BIRD,Single Emission Suspension 2x285/54W T5 1200mm (Aluminum) - Dimmable,2250.00,1810.00
A,L2164829,BIRD,Single Emission Suspension 2x285/54W T5 1200mm (Aluminum) - Dimmable,2168.00,1742.00
A,L2165816,BIRD,Double Emission L=1500mm 4 x 35W T5 Suspension with Cables / Power Supply -White - Dimmable,2844.00,2290.00
A,L2165829,BIRD,Double Emission L=1500mm 4 x 35W T5 Suspension with Cables / Power Supply -White - Dimmable,2844.00,2290.00
A,L2165016,BIRD,Double Suspension 1200mm 4 x 54W T5 - White,2448.00,1970.00
A,L2165029,BIRD,Double Suspension 1200mm 4 x 54W T5,2366.00,1902.00
A,L2165116,BIRD,Double Suspension 1500mm 4 x 35W T5 - White,2580.00,2074.00
A,L2165129,BIRD,Double Suspension 1500mm 4 x 35W T5,2481.00,1996.00
A,L2179516,BIRD,Suspension - 1200mm -42W LED -4000K -Single Emission - 5187lm - White,2248.00,1806.00
A,L2179529,BIRD,Suspension - 1200mm -42W LED -4000K -Single Emission - 5187lm - Aluminum,2164.00,1740.00
A,L2179616,BIRD,Suspension - 1200mm -42W LED -3000K -Single Emission - 5043lm - White,2248.00,1806.00
A,L2179629,BIRD,Suspension - 1200mm -42W LED -3000K -Single Emission - 5043lm - Aluminum,2194.00,1764.00
A,L2179716,BIRD,Suspension - 1500mm -63W LED -4000K -Single Emission - 77810lm - White,2654.00,2132.00
A,L2179729,BIRD,Suspension - 1500mm -63W LED -4000K -Single Emission - 7780lm - Aluminum,2554.00,2052.00
A,L2179816,BIRD,Suspension - 1500mm -63W LED -3000K -Single Emission - 7564lm - White,2654.00,2132.00
A,L2179829,BIRD,Suspension - 1500mm -63W LED -3000K -Single Emission - 7564lm - Aluminum,2554.00,2052.00
A,L2179916,BIRD,Suspension - 1200mm -42W + 2x21W LED -4000K -Double Emission - 2 x 5187lm - White,3180.00,2558.00
A,L2179929,BIRD,Suspension - 1200mm -42W + 2x21W LED -4000K -Double Emission - 2x5187lm - Aluminum,3098.00,2492.00
A,L2180016,BIRD,Suspension - 1200mm -42W + 2x21W LED -3000K -Double Emission -2x5043lm - White,3180.00,2558.00
A,L2180029,BIRD,Suspension - 1200mm -42W + 2x21W LED -3000K -Double Emission - 2x5043lm - Aluminum,3098.00,2492.00
A,L2180116,BIRD,Suspension - 1500mm -63W + 2x21W LED -4000K -Double Emission - 2x77810lm - White,3642.00,2930.00
A,L2180129,BIRD,Suspension - 1500mm -63W + 2x21W LED -4000K -Double Emission - 2x7780lm - Aluminum,3542.00,2850.00
A,L2180216,BIRD,Suspension - 1500mm -63W + 2x21W LED -3000K -Double Emission - 2x7564lm - White,3642.00,2930.00
A,L2180229,BIRD,Suspension - 1500mm -63W + 2X21W LED -3000K -Double Emission - 2x7564lm - Aluminum,3542.00,2850.00
A,L2913544,BIRD,Linear Joint w/End Caps Black/Red,308.00,248.00
A,L2913546,BIRD,Linear Joint w/End Caps Black/White,308.00,248.00
A,L2913548,BIRD,Linear Joint w/End Caps Black/Silver-Gray,308.00,248.00
A,L2923444,BIRD,T connector Black/Red,1106.00,892.00
A,L2923446,BIRD,T connector Black/White,1106.00,892.00
A,L2923448,BIRD,T connector Black/Silver-Gray,1106.00,892.00
A,L2923544,BIRD,L connector Black/Red,924.00,744.00
A,L2923546,BIRD,L connector Black/White,924.00,744.00
A,L2923548,BIRD,L connector Black/Silver-Gray,924.00,744.00
A,L2923644,BIRD,X connector Black/Red,1314.00,1058.00
A,L2923646,BIRD,X connector Black/White,1314.00,1058.00
A,L2923648,BIRD,X connector Black/Silver-Gray,1314.00,1058.00
A,L2913400,BIRD,Hidden Joint Screw Kit,24.00,18.00
A,L2923702,BIRD,Thermoplastic Ceiling Nose - Black,52.00,42.00
A,L2923716,BIRD,Thermoplastic Ceiling Nose - White,70.00,56.00
A,L2912916,BIRD,Aluminum Ceiling Plate White,186.00,150.00
A,L2912929,BIRD,Aluminum Ceiling Plate Aluminum,186.00,150.00
A,L2912714,BIRD,End Cover Red,88.00,72.00
A,L2912716,BIRD,End Cover White,88.00,72.00
A,L2912728,BIRD,End Cover Silver Gray,88.00,72.00
A,L2923800,BIRD,Connection Box for Through Wiring,76.00,62.00
A,L2912516,BIRD,Opal Polycarbonate diffuser for 2x28/54W-42W-1200mm,92.00,74.00
A,L2912616,BIRD,Opal Polycarbonate diffuser for 2x35/49W-63W-1500mm,120.00,96.00
A,L2923900,BIRD,Dark Light diffuser for 2x28/54W-42W-1200mm,240.00,194.00
A,L2924000,BIRD,Dark Light diffuser for 2x35/49W-63W-1500mm,302.00,244.00
A,L2924100,BIRD,Transparent Polycarbonate diffuser for 2x28/54W-42W-1200mm,76.00,62.00
A,L2924200,BIRD,Transparent Polycarbonate diffuser for 2x35/49W-63W-1500mm,92.00,74.00
A,L2913002,BIRD,Power Supply 3X1 2000mm,36.00,28.00
A,L2913102,BIRD,Power Supply 3X1 5000mm,86.00,70.00
A,L2913202,BIRD,Power Supply 5X1 2000mm,124.00,100.00
A,L2913302,BIRD,Power Supply 5X1 5000mm,308.00,248.00
A,L2721015,SYNTHESIS,Track Spot -15.7W LED -120V -3000K -Optic:15° -1939lm -Black -Transparent Diffuser,756.00,610.00
A,L2721016,SYNTHESIS,Track Spot -15.7W LED -120V -3000K -Optic:15° -1939lm -White -Transparent Diffuser,756.00,610.00
A,L2721115,SYNTHESIS,Track Spot -15.7W LED -120V -3000K -Optic:25° -1939lm -Black -Transparent Diffuser,756.00,610.00
A,L2721116,SYNTHESIS,Track Spot -15.7W LED -120V -3000K -Optic:25° -1939lm -White -Transparent Diffuser,756.00,610.00
A,L2721215,SYNTHESIS,Track Spot -15.7W LED -120V -4000K -Optic:15° -2004lm -Black -Transparent Diffuser,756.00,610.00
A,L2721216,SYNTHESIS,Track Spot -15.7W LED -120V -4000K -Optic:15° -2004lm -White -Transparent Diffuser,756.00,610.00
A,L2721315,SYNTHESIS,Track Spot -15.7W LED -120V -4000K -Optic:25° -2004lm -Black -Transparent Diffuser,756.00,610.00
A,L2721316,SYNTHESIS,Track Spot -15.7W LED -120V -4000K -Optic:25° -2004lm -White -Transparent Diffuser,756.00,610.00
A,L2721415,SYNTHESIS,Track Spot -15.7W LED -120V -4000K -Optic:50° -2004lm -Black -Prismatic  Diffuser,806.00,650.00
A,L2721416,SYNTHESIS,Track Spot -15.7W LED -120V -4000K -Optic:50° -2004lm -White -Prismatic Diffuser,806.00,650.00
A,L2721515,SYNTHESIS,Track Spot -15.7W LED -120V -3000K -Optic:50° -1939lm -Black -Prismatic Diffuser,806.00,650.00
A,L2721516,SYNTHESIS,Track Spot -15.7W LED -120V -3000K -Optic:50° -1939lm -White -Prismatic Diffuser,806.00,650.00
A,L2244415,SYNTHESIS,Surface - 50W QR-CB 51 / 10W LED - GU5.3 -120V - Black,586.00,450.00
A,L2244416,SYNTHESIS,Surface - 50W QR-CB 51 / 10W LED - GU5.3 -120V -White,586.00,450.00
A,L2721615,SYNTHESIS,Track Spot -15.7W LED -120V -3000K -Optic:15° -Adjustable -1939lm -Black -Transparent Diffuser,840.00,676.00
A,L2721616,SYNTHESIS,Track Spot -15.7W LED -120V -3000K -Optic:15° -Adjustable -1939lm -White -Transparent Diffuser,840.00,676.00
A,L2721715,SYNTHESIS,Track Spot -15.7W LED -120V -3000K -Optic:25° -Adjustable -1939lm -Black -Transparent Diffuser,840.00,676.00
A,L2721716,SYNTHESIS,Track Spot -15.7W LED -120V -3000K -Optic:25° -Adjustable -1939lm -White -Transparent Diffuser,840.00,676.00
A,L2721815,SYNTHESIS,Track Spot -15.7W LED -120V -4000K -Optic:15° -Adjustable -2004lm -Black -Transparent Diffuser,840.00,676.00
A,L2721816,SYNTHESIS,Track Spot -15.7W LED -120V -4000K -Optic:15° -Adjustable -2004lm -White -Transparent Diffuser,840.00,676.00
A,L2721915,SYNTHESIS,Track Spot -15.7W LED -120V -4000K -Optic:25° -Adjustable -2004lm -Black -Transparent Diffuser,840.00,676.00
A,L2721916,SYNTHESIS,Track Spot -15.7W LED -120V -4000K -Optic:25° -Adjustable -2004lm -White -Transparent Diffuser,840.00,676.00
A,L2722015,SYNTHESIS,Track Spot -15.7W LED -120V -4000K -Optic:50° -Adjustable -2004lm -Black -Prismatic  Diffuser,890.00,716.00
A,L2722016,SYNTHESIS,Track Spot -15.7W LED -120V -4000K -Optic:50° -Adjustable -2004lm -White -Prismatic Diffuser,890.00,716.00
A,L2722115,SYNTHESIS,Track Spot -15.7W LED -120V -3000K -Optic:50° -Adjustable -1939lm -Black -Prismatic Diffuser,890.00,716.00
A,L2722116,SYNTHESIS,Track Spot -15.7W LED -120V -3000K -Optic:50° -Adjustable -1939lm -White -Prismatic Diffuser,890.00,716.00
A,L2244515,SYNTHESIS,Surface - 50W QR-CB 51 / 10W LED - GU5.3 -120V - Black,668.00,512.00
A,L2244516,SYNTHESIS,Surface - 50W QR-CB 51 / 10W LED - GU5.3 -120V -White,668.00,512.00
A,L2233015,SYNTHESIS,Surface -15.7W LED -120V -3000K -Optic:15° -1939lm -Black -Transparent Diffuser,822.00,662.00
A,L2233016,SYNTHESIS,Surface -15.7W LED -120V -3000K -Optic:15° -1939lm -White -Transparent Diffuser,822.00,662.00
A,L2233115,SYNTHESIS,Surface -15.7W LED -120V -3000K -Optic:25° -1939lm -Black -Transparent Diffuser,822.00,662.00
A,L2233116,SYNTHESIS,Surface -15.7W LED -120V -3000K -Optic:25° -1939lm -White -Transparent Diffuser,822.00,662.00
A,L2233215,SYNTHESIS,Surface -15.7W LED -120V -4000K -Optic:15° -2004lm -Black -Transparent Diffuser,822.00,662.00
A,L2233216,SYNTHESIS,Surface -15.7W LED -120V -4000K -Optic:15° -2004lm -White -Transparent Diffuser,822.00,662.00
A,L2233315,SYNTHESIS,Surface -15.7W LED -120V -4000K -Optic:25° -2004lm -Black -Transparent Diffuser,822.00,662.00
A,L2233316,SYNTHESIS,Surface -15.7W LED -120V -4000K -Optic:25° -2004lm -White -Transparent Diffuser,822.00,662.00
