Cat.,Zaneen Model #,Item Status,Series,Description,MSRP CDN $ ,MSRP  US $ 
A,L5100126,CURRENT,FLOOT,Pendant - 3400lm 33W 3000K 70° Silver/Silver,804.00,644.00
A,L5100152,CURRENT,FLOOT,Pendant - 3400lm 33W 3000K 70° White/Transparent,778.00,624.00
A,L5100128,CURRENT,FLOOT,Pendant - 5400lm 51W 3000K 70° Silver/Transparent,804.00,644.00
A,L5100026,CURRENT,FLOOT,Pendant - 5400lm 51W 3000K 70° Silver/Silver,902.00,724.00
A,L5100052,CURRENT,FLOOT,Pendant - 5400lm 51W 3000K 70° White/Transparent,948.00,760.00
A,L5100028,CURRENT,MINIKYCLOS,Recessed - IN 1x3000lm 24W 3000K 25° White,902.00,724.00
A,L5603721,CURRENT,RA4 L,Recessed LED 2W - 200lm - 3000K - 14° White - Adjustable,132.00,106.00
A,L5603821,CURRENT,RA4 L,Recessed LED 4.6W - 430lm - 3000K - 60° White,150.00,120.00
A,L5604521,CURRENT,RA4 L,Recessed LED 4.6W - 430lm - 3000K - 60° Silver,84.00,68.00
A,L5901800,CURRENT,RA8 L/TL DIxIT,Optic Reflector 65°,20.00,16.00
A,L5901900,CURRENT,RA8 L/TL DIxIT,Optic Reflector 45°,20.00,16.00
A,L5902000,CURRENT,RA8 L/TL DIxIT,Optic Reflector 26°,20.00,16.00
A,L5902100,CURRENT,RA8 L Q DIxIT,Optic Reflector 26°,20.00,16.00
A,L5902200,CURRENT,RA8 L Q DIxIT,Optic Reflector 45°,20.00,16.00
A,L5902300,CURRENT,RA8 L Q DIxIT,Optic Reflector 65°,20.00,16.00
A,L5902400,CURRENT,RA11/17 DIxIT,Optic Reflector 55°,32.00,26.00
A,L5902500,CURRENT,RA11/17 DIxIT,Optic Reflector 18°,32.00,26.00
A,L5902600,CURRENT,RA11/17 DIxIT,Optic Reflector 70°,36.00,28.00
A,L5902700,CURRENT,RA11/17 DIxIT,Optic Reflector 30°,32.00,26.00
A,L5902800,CURRENT,RA11 DIxIT,Honeycomb Louvre,28.00,22.00
A,L5T00052,CURRENT,PERFETTO ,Track Spot 230 LED 2000lm 19W 3000K Base 38° Silver,368.00,296.00
A,L5T00116,CURRENT,PERFETTO ,Track Spot 230 LED 2000lm 19W 4000K Base 38° Black,368.00,296.00
A,L5T00121,CURRENT,PERFETTO ,Track Spot 230 LED 2000lm 19W 4000K Base 38° White,368.00,296.00
A,L5T00152,CURRENT,PERFETTO ,Track Spot 230 LED 2000lm 19W 4000K Base 38° Silver,368.00,296.00
A,L5T00216,CURRENT,PERFETTO ,Track Spot 230 LED 2000lm 19W 3000K LKM 38° Black,368.00,296.00
A,L5T00221,CURRENT,PERFETTO ,Track Spot 230 LED 2000lm 19W 3000K LKM 38° White,368.00,296.00
A,L5T00252,CURRENT,PERFETTO ,Track Spot 230 LED 2000lm 19W 3000K LKM 38° Silver,368.00,296.00
A,L5T00316,CURRENT,PERFETTO ,Track Spot 230 LED 2000lm 19W 4000K LKM 38° Black,368.00,296.00
A,L5T00321,CURRENT,PERFETTO ,Track Spot 230 LED 2000lm 19W 4000K LKM 38° White,368.00,296.00
A,L5T00352,CURRENT,PERFETTO ,Track Spot 230 LED 2000lm 19W 4000K LKM 38° Silver,368.00,296.00
A,L5T00416,CURRENT,PERFETTO ,Track Spot 230 LED 3000lm 33W 3000K LKM 38° Black,408.00,328.00
A,L5T00421,CURRENT,PERFETTO ,Track Spot 230 LED 3000lm  33W 3000K LKM 38° White,408.00,328.00
A,L5T00452,CURRENT,PERFETTO ,Track Spot 230 LED 3000lm 33W 3000K LKM 38° Silver,408.00,328.00
A,L5T00516,CURRENT,PERFETTO ,Track Spot 230 LED 3000lm 33W 4000K LKM 38° Black,408.00,328.00
A,L5T00521,CURRENT,PERFETTO ,Track Spot 230 LED 3000lm 33W 4000K LKM 38° White,408.00,328.00
