Cat.,Zaneen Model #,Item Status,Series,Description, CAD MSRP  , USD MSRP  
E,L9W486_ _,CURRENT,MINI ONE,Wall 1.5W (1 LED) 3000K 1 Lens 120V 50/60Hz,642.00,490.00
E,L9W487_ _,CURRENT,MINI ONE,Wall 1.5W (1 LED) 4000K 1 Lens 120V 50/60Hz,612.00,490.00
E,L9W488_ _,CURRENT,MINI ONE,Wall 3W (2 LED) 3000K 2 Lenses 120V 50/60Hz,710.00,568.00
E,L9W562_ _,CURRENT,MINI ONE,Wall 3W (2 LED) 4000K 2 Lenses 120V 50/60Hz,710.00,568.00
E,L9W490_ _,CURRENT,MINI ONE,Wall 6W (4 LED) 3000K 4 Lenses 120V 50/60Hz,898.00,720.00
E,L9W491_ _,CURRENT,MINI ONE,Wall 6W (4 LED) 4000K 4 Lenses 120V 50/60Hz,898.00,720.00
E,L9W492_ _,CURRENT,MINI ONE,Wall 3W (2 LED) 3000K 1 Opening. 120V 50/60Hz,678.00,544.00
E,L9W493_ _,CURRENT,MINI ONE,Wall 3W (2 LED) 4000K 1 Opening. 120V 50/60Hz,678.00,544.00
E,L9W494_ _,CURRENT,MINI ONE,Wall 1 Opening 1.5W 3000K (1 LED) 120V 50/60Hz,580.00,466.00
E,L9W495_ _,CURRENT,MINI ONE,Wall 1.5W (1 LED) 4000K 1 Opening 120V 50/60Hz,580.00,466.00
E,L9W496_ _,CURRENT,MINI ONE,Wall 3W (2 LED) 3000K 2 Light 120V 50/60Hz,646.00,518.00
E,L9W497_ _,CURRENT,MINI ONE,Wall 3W (2 LED) 4000K 2 Light 120V 50/60Hz,646.00,518.00
E,L9W498_ _,CURRENT,MINI ONE,Wall 6W (4 LED) 3000K 4 Light 120V 50/60Hz,772.00,620.00
E,L9W499_ _,CURRENT,MINI ONE,Wall 6W (4 LED) 4000K 4 Light 120V 50/60Hz,772.00,620.00
E,L9C001_ _,CURRENT,MINI ONE,Ceiling 1 LED x 5W (3000K) Transparent Glass,612.00,490.00
E,L9C003_ _,CURRENT,MINI ONE,Ceiling 1 LED x 5W (4000K) Transparent Glass,612.00,490.00
E,L9W010_ _,CURRENT,MINI ONE,Wall 1 LED 5W 3000K 1 Lens Satinated Glass,540.00,432.00
E,L9W011_ _,CURRENT,MINI ONE,Wall 1 LED 5W 3000K 2 Lens Satinated Glass,572.00,458.00
E,L9W012_ _,CURRENT,MINI ONE,Wall 1 LED 5W 3000K 4 Lens Satinated Glass,728.00,584.00
E,L9C004_ _,CURRENT,MINI ONE,Ceiling 1 LED x 5W 3000K Satinated Glass,638.00,510.00
E,L9W016_ _,CURRENT,MINI ONE,Wall 1 Opening - Satinated Glass - 1 LED 5W 4000K,540.00,432.00
E,L9W017_ _,CURRENT,MINI ONE,Wall 2 Opening - Satinated Glass - 1 LED 5W 4000K,572.00,458.00
E,L9W018_ _,CURRENT,MINI ONE,Wall 4 Opening - Satinated Glass - 1 LED 5W 4000K,728.00,584.00
E,L9C006_ _,CURRENT,MINI ONE,Ceiling 1 LED x 5W 4000K Satinated Glass,638.00,510.00
E,L9F005_ _,CURRENT,MINI ONE,Floodlight 5W (3LED) 3000K 30° 120V 50/60Hz,766.00,614.00
E,L9F006_ _,CURRENT,MINI ONE,Floodlight 5W (3LED) 3000K 50° 120V 50/60Hz,766.00,614.00
E,L9F008_ _,CURRENT,MINI ONE,Floodlight 5W (3LED) 4000K 30° 120V 50/60Hz,766.00,614.00
E,L9F009_ _,CURRENT,MINI ONE,Floodlight 5W (3LED) 4000K 50° 120V 50/60Hz,766.00,614.00
E,L9F013_ _,CURRENT,MINI ONE,Floodlight 5W (1 LED) 3000K 120V 50/60Hz sandblasted Glass,744.00,596.00
E,L9F014_ _,CURRENT,MINI ONE,Floodlight 5W (1 LED) 4000K 120v 50/60Hz sandblasted Glass,744.00,596.00
E,L9B001_ _,CURRENT,MINI ONE,Post 1 Opening 150 mm 1 LED 4W 3000K,868.00,696.00
E,L9B002_ _,CURRENT,MINI ONE,Post 2 Opening 150 mm 1 LED 4W 3000K,898.00,722.00
E,L9B004_ _,CURRENT,MINI ONE,Post 4 Opening 150 mm 1 LED 4W 3000K,978.00,784.00
E,L9B005_ _,CURRENT,MINI ONE,Post 1 Opening 150 mm 1 LED 4W 4000K,868.00,696.00
E,L9B006_ _,CURRENT,MINI ONE,Post 2 Opening 150 mm 1 LED 4W 4000K,898.00,722.00
E,L9B007_ _,CURRENT,MINI ONE,Post 4 Opening 150 mm 1 LED 4W 4000K,978.00,784.00
E,L9C007_ _,CURRENT,MINI SPECIAL,Ceiling 1 LED x  8W 3000K Transparent Glass,726.00,582.00
E,L9W019_ _,CURRENT,MINI SPECIAL,Wall 1 Opening - 1 LED x 8W 3000K Transparent Glass,698.00,560.00
E,L9W020_ _,CURRENT,MINI SPECIAL,Wall 2 Opening - 2 LED x 16W 3000K Transparent Glass,1034.00,828.00
E,L9W021_ _,CURRENT,MINI SPECIAL,Wall 2 Opening - 2 LED x 16W 4000K Transparent Glass,998.00,802.00
E,L9C010_ _,CURRENT,MINI SPECIAL,Ceiling Transparent Glass 1 LED x 8W 4000K,728.00,582.00
E,L9W026_ _,CURRENT,MINI SPECIAL,Wall 1 Opening - Transparent Glass 1 LED x 8W 4000K,698.00,560.00
E,L9W564_ _,New,MINI SPECIAL ,Wall 16W LED 3000K Asymm. 62°,898.00,720.00
E,L9W565_ _,New,MINI SPECIAL ,Wall 16W LED 4000K Asymm. 62°,898.00,720.00
E,L9W027_ _,CURRENT,MINI SPECIAL,Wall 2 Opening - Transparent Glass 2 LED x 16W 4000K,964.00,774.00
E,L9C011_ _,CURRENT,MINI SPECIAL,Ceiling Satinated Glass 1 LED x 8W 3000K,730.00,584.00
E,L9W028_ _,CURRENT,MINI SPECIAL,Wall 1 Opening - Satinated Glass 1 LED x 8W 3000K,698.00,560.00
E,L9W029_ _,CURRENT,MINI SPECIAL,Wall 2 Opening - Satinated Glass 2 LED x 16W 3000K,1030.00,824.00
E,L9C015_ _,CURRENT,MINI SPECIAL,Ceiling 1 LED x 8W 4000K Satinated Glass,730.00,586.00
E,L9W036_ _,CURRENT,MINI SPECIAL,Wall 1 Opening 1 LED x 8W 4000K Satinated Glass,698.00,560.00
E,L9W037_ _,CURRENT,MINI SPECIAL,Wall 2 Opening 2 LED x 16W 4000K Satinated Glass,1030.00,824.00
E,L9F272_ _,New,MINI SPECIAL,Floodlight - 8W LED 3000K Sandblasted glass,916.00,734.00
E,L9F273_ _,New,MINI SPECIAL,Floodlight - 8W LED 4000K Sandblasted glass,904.00,724.00
E,L9F274_ _,New,MINI SPECIAL,Floodlight - 16W LED 3000K Asymm. 60°,1070.00,858.00
